Disease,S1,S2,S3,S4,S5,S6
Acrocephaly -- pulmonary stenosis -- mental retardation,Narrowed pulmonary valves,Swelling,Mental retardation,Pointy skull,Shortness of breath,Rapid breathing
Acute elemental mercury inhalation,Pneumonitis,Cough,Breathing difficulties,Bloody sputum,,
Achalasia -- alacrimia syndrome,Swallowing difficulties,Absent tears,Achalasia,Regurgitating food,,
Adenocarcinoma of the lung,Weight loss,Weakness,Fever,Shortness of breath,Haemoptysis (coughing up blood): sputum may be streaked with blood,Coughing
Adies syndrome,Sensitivity to light,Loss of tendon reflexes (especially knee jerk reflex),Headaches,Pupil that responds slowly to light,Unequal pupils,
Aelurophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Prostate conditions/benign prostatic hyperplasia,Urinary urgency,Altered strength of urinary stream,Urination pain,Urinary leakage,Increased urination,
Behrens-baumann-dust syndrome,Absent optic nerve in one eye,Absent optic disk in one eye,Dandy walker brain cyst,Absent eyelids,Small eyes,
Female pseudohermaphrodism -- anorectal anomalies,Absent or underdeveloped kidneys,Abnormal kidneys,Perianal fistula,Narrowed anus,Large clitoris,Infant death
Acrospiroma,Discolored skin lump,Flesh-colored skin lump,Painless skin lump,Skin lumps,,
Adenitis,Swelling,Malaise,Cellulitis,Fever,Anorexia,
Arenavirus,Night sweats,Malaise,Abdominal pain,Fever,,
Arenaviruses,Night sweats,Malaise,Abdominal pain,Fever,,
Pulmonary arteriovenous malformation,Blue skin,Breathing difficulties,Reduced blood oxygenation,Exercise intolerance,Blood sputum,Finger clubbing
Hereditary hearing disorder,Impaired hearing,Sensorineural deafness,Deafness,Conductive deafness,,
Acute tin poisoning,Nausea,Muscle cramps,Headaches,Diarrhea,Chills,
Microphthalmia and mental deficiency,Spasticity,Mental retardation,Seizures,Small eyes,Cloudy corneas,
Acute silicosis,Loss of appetite,Shallow breathing,Dry cough,Chest pain,Inflamed lungs,Scarred lungs
Adult t-cell leukemia/lymphoma,Night sweats,Pruritis,Lymphadenopathy,Fever,Anorexia,
Microcornea -- cataract -- coloboma syndrome,Abnormal pupil shape,Small corneas,Cataract,Coloboma,,
Acrorenal syndrome recessive,Abnormal kidneys,Cleft hands,Ectrodactyly,Lobster claw deformity,Clinodactyly,Kidney failure
Accessory navicular bone,Malabsorption,Distended stomach,Flat feet,Bony lump in instep,Extra bone in foot,Scaly skin
"Alcoholic, reversible acute muscular",Muscle cramps,Myoglobinuria,Muscle aches,Muscle tenderness,,
Intraocular hemorrhage,Sensitivity to light,Eye pain,Impaired vision or blindness in more severe cases,Eye bleeding,Blurred vision,Red eyes
Acute zinc toxicity,Nausea,Diarrhea,Gastrointestinal pain,Fever,,
Latham-munro syndrome,Grand mal seizures,Mute,Deafness,Muscle twitching,,
Allergic asthma,Chest tightness,Breathing difficulties,Chest pain,Shortness of breath or wheezing,Chest pressure,Constricted airways
Allergic reaction,Anaphylaxis,Hives,Angioedema,Skin problems,Eczema,Contact dermatitis
Ankle sprain,Symptoms of sprain,Ankle swelling,Ankle pain,Reduced ankle mobility,Ankle bruising,
Anxiety conditions,Symptoms of the silent killer diseases,Lesser known silent killer diseases,Pitfalls of online diagnosis,Online diagnosis,Self diagnosis pitfalls,
Arthralgia,Varies depending on the cause,Symptoms from underlying cause,May include swelling,Joint pain,Stiffness,Redness
Aspirin-induced asthma,Chest tightness,Breathing difficulties,Chest pain,Increased mucus production,Shortness of breath or wheezing,Chest pressure
Asthma,Chest tightness,Breathing difficulties,Shallow breathing,Speaking difficulty,Cough worse at night,Itchy throat
Back sprain,Back tenderness,Back stiffness,Back swelling,Bruising,,
"Inclusion body myopathy, type 3",Loss of balance,Weak eye muscles,Progressive muscle weakness,Congenital joint contractures,Weak proximal muscles,
Hypoplasia hepatic ductular,Enlarged liver,Cholestasis,Abnormal stool color,Abnormal liver,Itching,Prolonged jaundice
"Apraxia, oculomotor, cogan type",Head jerking,Inability to move eyes horizontally,Difficulty turning quickly,Reading difficulty,,
"Cataract, congenital, cerulean, type 3",Spoke-like opacities radiating from the centre of the lens,Bluish dots around edge of eye lens,Whitish dots around edge of eye lens,Impaired vision,,
Atamasco lily poisoning,Nausea,Throat irritation,Diarrhea,Abdominal pain,Mouth irritation,
Alezzandrini syndrome,Blindness,Impaired vision in one eye,Patch of white hair,Retinal detachment,,
Bamboo hair,Nodules or thickenings along hair shaft,Hair appears to grow poorly,Damaged hair appearance,Hair breaks off easily,,
Cleft lip -- palate -- mental retardation -- corneal opacity,Psychomotor retardation,Cleft palate,Mental retardation,Cleft lips,Retarded growth,Cloudy corneas
Clayton-smith donnai syndrome,Groove in lower lip,Small  mouth,Scaly skin,Thin lips,Tapered fingers,Missing creases in end finger joints
Monosomy 18 mosaicism,Reduced intelligence,Cleft palate,Cleft lips,Mild behavioral problems,,
Aphakia,Loss of accommodation,Hyperopia,Absent eye lens,Blurred vision,,
Asparagus fern poisoning,Nausea,Skin redness,Skin swelling,Skin irritation,Skin blistering,
"Anemia, sideroblastic spinocerebellar ataxia",Clonus,Hyperchromic microcytic anemia,Positive babinski sign,Impaired ability to control voluntary movements,,
Deafness -- epiphyseal dysplasia -- short stature,Short statures,Inguinal hernias,Umbilical hernia,Blocked tear ducts,Mental retardation,Deafness
Chemical poisoning -- alkaline dry cell batteries,Nausea,Diarrhea,Abdominal pain,Mouth pain,Sudden decrease in blood pressure,
Antidiarrheal agent poisoning,Slow breathing,Pinpoint pupils,Headaches,Constipations,Lethargy,
Asteatotic dermatitis,Itchy skin,Dry skin,Red skin,Superficially cracked skin,Fissured skin,Skin peeling
Liotrix -- teratogenic agent,Extra digits,Retarded fetal growth,Heart defect,Branchial vestiga,Goiters,
Bacterial prostatitis,Painful ejaculation,Backaches,Thick discharge,Perineal pain,Urgency,Dyuria
Prion disease,Memory changes,Personality changes,Progressive movement problems,Impaired brain function,,
Torn rotator cuff,Shoulder clicking,Deltoid muscle pain,Weak shoulders,Shoulder pain,,
Chemical poisoning -- resmethrin,Convulsions,Skin irritation,Eye irritation,Tremors,,
Ankyloblepharon filiforme adnatum -- cleft palate,Eyelid adhesions,Cleft palate,Fusion of eyelids,Cleft lips,,
Amaryllis poisoning,Nausea,Salivations,Diarrhea,Abdominal pain,Excessive salivation,
"Arthrogryposis, congenital -- myopathic seizures",Arthrogryposis,Muscle wasting,Reduced muscle tone,Increased reflexes,Mental retardation,Seizures
"Temporal epilepsy, familial",Sudden awakening,Fearful expression during sleep,Tongue movements during sleep,Sleep-related epilepsy,Vocalization during sleep,Wandering during the night
Spastic paresis -- glaucoma -- mental retardation,Spasticity,Weak leg muscles,Glaucoma,Stiff leg muscles,Mental retardation,
Aberrant subclavian artery abnormality,Stridor,Non-breathing periods (apnea),Airway obstruction,Trachea obstruction,Recurring infections,Swallowing difficulties
Arachibutyrophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Autoimmune atherosclerosis,Decrease in peripheral pulses,Constriction,Chest pain,Shortness of breath,,
Adenoid disorders,Sore throat,Enlarged tonsils,Tonsillar exudates,Pharyngeal erythema,Cervical adenopathy,Fever
Adenophorea infections,Cough,Irritability,Abdominal discomfort,Shortness of breath or wheezing,Diarrhea,Restlessness at night
Adult adhd,Inability to sit still and relax even during short periods,Inability to stay focused on tasks,Unintentionally tuning out or not paying attention,Frequently losing important items,Excessive talking,Exhibiting restlessness
Adult low grade infiltrative supratentorial astrocytoma,Visual changes,Headaches,Papilledema,Failure to thrive,Endocrine dysfunction,Seizures
Aerophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Aichmophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Air embolism,Irregular breathing,Abnormal heart rhythm,Reduced blood pressure,Dizziness,Disorientation,Heart attacks
Aischrolgia,Sexual interest associated with using obscene language,Abnormal amount of time spent thinking about using obscene language,Recurring intense sexual urges involving using obscene language,Sexual preference for using obscene language,,
Alcoholic cerebellar degeneration,Impaired coordination,Truncal ataxia,Tremors,Impaired balance,Impaired gait,
Alektorophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Algophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Alopecia immunodeficiency,Recurrent infections,Decreased eyebrows,Decreased body hair,Humoral immune deficit,Absent eyebrows,Absent lashes
Alstrom syndrome,Hypogonadism in males,Childhood blindness,Sensitivity to light,Infantile obesity,Blindness,Baldness
Altocalciphilia,Abnormal amount of time spent thinking about high heels,Recurring intense sexual fantasies involving high heels,Sexual preference for high heels,Sexual interest in high heels,,
Aluminium toxicity,Dementia,Osteomalacia,Anaemia,Fractures,Seizures,
"Amaurosis congenita of leber, type 1",Sensitivity to light,Slow pupil response,Blindness,Retinal dysfunction,Posterior displacement of eye,Underdeveloped midface
"Amaurosis congenita of leber, type 6",Sensitivity to light,Slow pupil response,Blindness,Retinal dysfunction,Posterior displacement of eye,Habitually pressing own eyes
"Amaurosis congenita of leber, type 7",Sensitivity to light,Slow pupil response,Blindness,Retinal dysfunction,Posterior displacement of eye,Habitually pressing own eyes
"Amaurosis congenita of leber, type 8",Sensitivity to light,Slow pupil response,Blindness,Retinal dysfunction,Posterior displacement of eye,Habitually pressing own eyes
Amaxophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Ambien overdose,Lightheadedness,Breathing difficulties,Shallow breathing,Tiredness,Unsteady walk,Confusion
Amitriptyline toxicity,Dry mouth,Excitement,Metabolic acidosis,Restlessness,Cardiac arrhythmias,Dilated pupils
Amphetamine -- teratogenic agent,Limb deformities,Small head,Oral clefts,Clinodactyly,Porencephaly,Hydronephrosis
Amychophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Amyotrophic lateral sclerosis,Spasticity,Weak forearm muscles,Wasting of forearm muscles,Wasting of body muscles,Wasting of face muscles,Muscle cramps
"Amyotrophic lateral sclerosis, familial type 3",Muscle cramps,Paralysis,Loss of strength,Wasting of muscle tissue,Slurred speech,Progressive thinning of arms
"Amyotrophic lateral sclerosis, familial type 6",Muscle cramps,Paralysis,Loss of strength,Wasting of muscle tissue,Slurred speech,Progressive thinning of arms
"Amyotrophic lateral sclerosis, familial type 8",Muscle cramps,Paralysis,Loss of strength,Wasting of muscle tissue,Slurred speech,Progressive thinning of arms
Andropause,Reduced libido,Night sweats,Osteoporosis,Increased body fat,Depression,Decreased muscle mass
Androphobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
"Anemia, hemolytic, warm antibody",Breathing difficulty on exertion,Fainting,Dizziness,Palpitations,Jaundice,Chest pain
"Anemia, hypochromic microcytic",Dizziness,Pica,Sore tongue,Headaches,Abnormal craving for eating dirt,Abnormal craving for eating ice
"Anemia, sideroblastic",Pale mucous membranes,Enlarged liver,Breathing difficulties,High blood level of sideroblasts,High blood level of iron,Pale skin on arms
Angioimmunoblastic with dysproteinemia lymphadenopathy,Deficiency of t-cells,Enlarged liver,Night sweats,Coombs-positive hemolytic anemia,Generalised lymphadenopathy,Chills
Anglophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Aniridia ii,Underdeveloped fovea,Blindness,Corneal pannus,Absence of iris,Glaucoma,Rapid involuntary eye movements
Anisocytosis,Breathlessness,Tiredness,Pale skin,Pale conjunctiva,Symptoms of underlying disorder,Pale nail beds
Ankyloglossia,Speech impairment,Short frenulum (tissue holding tongue to floor of mouth),Reduced mobility of tip of tongue,Impaired feeding ability,Causes no problems in most cases,Impaired oral hygiene
Ankylophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Anorectal abscess,Anal lump,Drainage of pus from anus,Constipations,Chills,Anal pain,Fever
Anorectal disorders,Tenesmus,Haemorrhage,Abdominal pain,Bleeding from the rectum,Obstruction,Altered bowel habits
Anthophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Anthropophagy,Abnormal amount of time spent thinking about cannibalism,Recurring intense sexual fantasies involving cannibalism,Recurring intense sexual urges involving cannibalism,Sexual preference for cannibalism,Sexual interest in cannibalism,
Anthropophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Anti-social personality disorder,Hostility,Impulsive behaviour,Unresponsive to punishment,Symptoms of conduct disorder,Blame their behaviour on others,Isolation
Antlophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Anxiety depression,Loss of appetite,Menstrual changes,Breathing difficulties,"Dry mouth and unusual sensations in abdomen, chest or heart",Headaches,Tiredness
Apeirophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Apiophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Apnea of prematurity,Snoring,Irritability,Sweating,Flaring nostrils,Excessive sleeping,More effort in breathing
Arm fracture,Bruised arms,Arm pain,Crooked arm,Tingling in arms,Weak arms,Swollen arm
Armpit boil,Infected hair follicle in the armpit,Painful red skin lump in the armpit,Painful skin bump in the armpit,Boil in the armpit,Local lymph node swelling,Appearance of pus head on boil
Arterial occlusive disease,Poor wound healing,Symptoms vary depending on the location of the blocked vessel,Chest pain,Claudication,Skin ulcers,Chest discomfort
Asbestos conditions,Cough,Exercise intolerance,Finger clubbing,Right sided heart failure,Cyanosis,
Astraphobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Astrophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Atelophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Atephobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Aulophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Aurophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Auroraphobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Autoimmune eye diseases,Diplopia,Conjunctivitis,Loss of sight,Headaches,Swelling,
Autoimmune myelopathy,Paresthesia,Gait difficulties,Urinary incontinence,Neck pain,Shoulder pain,
Autoimmune neuropathies,Paresthesia,Numbness,Tingling,Decreased reflexes,,
Autoimmune orchitis,Dysuria,Haematuria,Chills,Urethral discharge,Scrotal pain,Fever
Autoimmune urticaria,Angioedema,Pruritis,Anaphylactic reaction,Raised blanched wheals,Rapid onset,
Autoimmune uveitis,Hazy vision,Vision disturbances,Symptoms of uveitis,Floaters,,
Bacillophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Bacteriophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Barmah forest virus,Swollen lymph glands,Swollen joints,Headaches,Muscle aches,Joint pain,Mild fever
Barophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Bathmophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Bathophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Batophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Batrachophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Analgesic syndrome,Pigmentation disorders,Pregnancy complication,Kidney damage,Hypertension,Intestinal bleeding,Peptic ulcers
Anophthalmia with pulmonary hypoplasia,Lung segmentation defect,Narrowed pulmonary valves,Narrowed pulmonary arteries,Underdeveloped lungs,Cyanotic heart disease,Diaphragmatic hernia
Anophthalmia -- cleft palate -- micrognathia,Bifid scrotum,Absent eyes,Cleft palate,Small jaw,Hypospadias,
"Agnosia, primary visual",Inability to recognize a familiar sound,Inability to recognize a familiar shape,Inability to recognize a familiar smell,Inability to recognize a familiar person,Inability to recognize familiar objects,Inability to identify a familiar stimulus
Spastic dysphonia,Speaking difficulty,Abnormal speech volume,Abnormal speech fluency,Strained speech,Breathy speech,Strained voice
Addison-gull syndrome,Enlarged liver,Chronic jaundice,Bile duct cirrhosis,Xanthomas,Liver cirrhosis,
Auricular abnormalities -- cleft lip with or without cleft palate -- ocular abnormalities,Myopia,Cleft palate,Abnormal external ears,Pits near ears,Cleft lips,Nystagmus
Appian-plutarch syndrome,Rashes,Hallucinations,Restlessness,Confusion,Delirium,Fever
Trisomy 1q44-qter,Behavioral problems,Cat-like cry,Mental retardation,Minor anomalies,Dysmorphic features,
Symphalangism distal,Short fingers,Lack of skin creases over fused joints,Fused joints in fingers,Fused toe joints,,
Arachnodactyly -- intellectual deficit -- dysmorphism,Small  mouth,Long thin toes,Underweight,Long thin fingers,Thin lips,Long thing fingers
Zieve syndrome,Fatty liver,Telangiectasia,Scleral lesions,High blood cholesterol,Jaundice,High level of lipids in blood
High t4 syndrome,Hyperactivity,Restlessness,Ophthalmopathy,Atrial fibrillation,Nervousness,Fever
"Hip dysplasia, beukes type",Flattened femoral capital epiphyses,Progressive crippling,Hip pain,Irregular femoral capital epiphyses,,
Balanitis xerotica obliterans,Penis swelling,Ring of hardened tissue - usually near tip of penis,White patches or lump on shaft of penis,Erectile dysfunction,Difficulty retracting the foreskin,Penis pain
"Spastic paraplegia 29, autosomal dominant",Urinary urgency,Lower leg spasticity,Hiatal hernia,Increased reflexes in lower legs,Increased arm reflexes,
Karsch-neugenbauer syndrome,Fundal changes,Split hand deformity,Rapid involuntary eye movements,Foot deformities,Cataract,
"Arhinia, choanal atresia, and microphthalmia",Blocked back of nasal passages,Absent nose,Wide set eyes,Inability to smell,Small eyes,
Arthrogryposis-like hand anomaly -- sensorineural deafness,Short statures,Hearing loss,Poorly muscled build,Long thin fingers,Restricted hand mobility,Wasted build
Al gazali-khidr-prem chandran,Optic atrophy,Abnormal teeth,Thick gums,Swollen cheeks,Enlarged jaw,Impaired vision
"Scapuloperoneal syndrome, neurogenic, kaeser type",Weak eye muscles,Paraplegia,Shoulder weakness,Weakness in the legs,Muscle wasting in shoulders,Wasting of lower leg muscles
"Scapuloperoneal myopathy, myh7-related",Winged shoulder blades,Progressive lower leg wasting,Foot drop,Progressive shoulder muscle weakness,Progressive shoulder muscle wasting,Progressive lower leg muscle weakness
Baetz-greenwalt syndrome,Absence of tricuspid valve,Absence of pulmonary valve,Blue baby,Insufficient blood oxygenation,Pulmonary valve stenosis,Underdeveloped pulmonary artery
"Aphasia, broca",Difficulty initiating speech,Lack of speech intonation,Use of disjointed words for language,Inflection words omitted,Poor sentence structure,Non-fluent speech
"Aphasia-epilepsy, acquired",Abnormal eeg,Behavioral changes,Hyperkinesia,Seizures,Comprehension difficulties,Aphasia
Alpine syndrome,Nausea,Dizziness,Disorientation,Headaches,Pale skin,Clammy skin
Albatross syndrome,Persistent abdominal pain,Dependence on pain-killing drugs,Intermittent nausea,Nutrient deficiencies,Intermittent vomiting,
"Familial febrile convulsions, 6",Generalized tonic-clonic seizures,Normal psychomotor development,Hypotonic seizures,Hypertonic seizures,Seizures associated with fever,
Osteochondroses,Bone pain,Bone deformities,Skeletal deformity e.g. kyphosis,May cause movement problems,Abnormal bone growth,
Williams-campbell syndrome,Bronchiectasis,Cough,Absence of bronchial annular cartilage,Purulent sputum,Pulmonary infections,Pneumonia
"Amyloidosis, cerebroarterial, hereditary, italian type",Amyloid deposits in brain arteries,Multiple brain hemorrhages,Progressive dementia,Hemorrhages,,
Altamira syndrome,Low grade fever,Skin hemorrhage,Mucus membrane bleeding,Skin lesions at site of bite,Asthenia,Bruising
Vocal cord carcinoma,Neck tenderness,Breathing difficulties,Broadened larynx,Swallowing difficulties,Hoarseness,
Enolase deficiency type 3,Easy muscle fatigue,Exercise intolerance,Muscle weakness,Exercise intolreance,Muscle pain,Myalgias
Atypical depression,Hypersomnia,Mood reactivity,Longstanding pattern of interpersonal rejection sensitivity,Increased appetite,Leaden paralysis,Weight gain
"Choledochal cyst, hand malformation",Upper abdominal and back pain,Hand anomalies,Foot anomalies,Short big toes,Jaundice,Dilated portion of biliary tract
Choanal atresia -- deafness -- cardiac defects -- dysmorphia,Facial anomalies,Deafness,Choanal atresia,Cardiac defects,,
Annular constricting bands,Limb deformities,Limb swelling,Limb amputation,Digital amputation,Digital deformity,Clubfoot
Combined oxidative phosphorylation deficiency 5,Abdominal ascites,Increased serum lactate,Prenatal edema,Reduced muscle tone,Death soon after birth,Edema
Thrombocytopenia -- multiple congenital anomalies,Amegakaryocytosis,Genital abnormalities - internal and external,Abnormal hip development,Thrombocytopenia,Weak face muscles,Heart defect
Retrofascial space abscess,Inguinal pain,Pain on internally rotating hip,Pain on extending leg,Flexed hip,,
Short stature deafness neutrophil dysfunction,Short statures,Not talking,Premature fusion of sagittal skull bones,Unusual skull shape,Frequent infections,Glaucoma
Ataxia tapetoretinal degeneration,Reduced muscle tone,Severe vision loss,Abnormal cerebellum development,Mental retardation,Ataxia,Abnormal walk
"Lop ears, micrognathia and conductive hearing loss",Malformed ears,Thickened ears,Middle ear ossicular anomalies,Small jaw,Malocclusion,Lop ears
Borna disease,Behavioral disturbances,Mental illness,Movement disturbances,Depression,,
Behavioral disorders,Behaviors which affect ability to function fully in daily life,Anxiety,Social problems,Panic,Obsessive-compulsive behaviors,Unusual behaviors
Belonephobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Anorectal stricture,Narrowing of anorectal canal,Unable to completely evacuate bowels,Excessive straining while passing stool,Anorectal bleeding,Anorectal pain,Pain during bowel movements
Anthracosis,Cough,Breathing difficulties,Breathlessness,Chest pain,Impaired lung functions,Bronchitis
Aniridia iii,Blindness,Absence of iris,Vision impairments,Partial absence of iris,Mental retardation,
Barth syndrome,Skeletal problems,Increased urine level of 2-ethyl-hydracrilic acid,Endocardial fibroelastosis,Enlarged heart,Skeletal myopathy,Reduced white blood cells
Ziehen-oppenheim syndrome,Continuous body twisting and turning,Abnormal leg movements,Inverted foot,Adducted foot,Flexed foot,Poor reflexes
Atrichia with papular lesions,Sparse or absent eyelashes,Sparse or absent eyebrows,Loss of scalp hair soon after birth,Extensive papular rash,Absent body hair,
Suppurative parotitis,Tender parotid glands,Pus seeping from parotid duct,Swelling on side of face,Warm parotid glands,Swollen parotid glands,
